===== DPKG PACKAGE INVENTORY =====
7zip	23.01+dfsg-11
libvpx9:i386	1.14.0-1ubuntu2.3
libvte-2.91-0:amd64	0.76.0-1ubuntu0.1
libvte-2.91-common	0.76.0-1ubuntu0.1
libvulkan1:amd64	1.3.275.0-1build1
libvulkan1:i386	1.3.275.0-1build1
libwacom-bin	2.10.0-2
libwacom-common	2.10.0-2
libwacom9:amd64	2.10.0-2
libwavpack1:amd64	5.6.0-1build1
libwavpack1:i386	5.6.0-1build1
libwayland-client0:amd64	1.22.0-2.1build1
libwayland-client0:i386	1.22.0-2.1build1
libwayland-cursor0:amd64	1.22.0-2.1build1
libwayland-cursor0:i386	1.22.0-2.1build1
libwayland-egl1:amd64	1.22.0-2.1build1
libwayland-egl1:i386	1.22.0-2.1build1
libwayland-server0:amd64	1.22.0-2.1build1
libwbclient0:amd64	2:4.19.5+dfsg-4ubuntu9.7
libwebkit2gtk-4.1-0:amd64	2.52.6-0ubuntu0.24.04.1
libwebkitgtk-6.0-4:amd64	2.52.6-0ubuntu0.24.04.1
libwebp7:amd64	1.3.2-0.4build3
libwebp7:i386	1.3.2-0.4build3
libwebpdemux2:amd64	1.3.2-0.4build3
libwebpmux3:amd64	1.3.2-0.4build3
libwebpmux3:i386	1.3.2-0.4build3
libwebrtc-audio-processing1:amd64	0.3.1-0ubuntu6
libwebsocket-api-java	1.1-2
libwildmidi2:amd64	0.4.3-1build3
libwine:i386	9.0~repack-4build3
libwireplumber-0.4-0:amd64	0.4.17-1ubuntu4.1
libwmf-0.2-7:amd64	0.2.13-1.1build3
libwmf-0.2-7-gtk:amd64	0.2.13-1.1build3
libwmf0.2-7-gtk:amd64	0.2.13-1.1build3
libwmflite-0.2-7:amd64	0.2.13-1.1build3
libwnck-3-0:amd64	43.0-3build4
libwnck-3-common	43.0-3build4
libwoff1:amd64	1.0.2-2build1
libwpd-0.10-10:amd64	0.10.3-2build2
libwpg-0.3-3:amd64	0.3.4-3build1
libwps-0.4-4:amd64	0.4.14-2build1
libwrap0:amd64	7.6.q-33
libwww-perl	6.76-1ubuntu0.1
libwww-robotrules-perl	6.02-1
libx11-6:amd64	2:1.8.7-1build1
libx11-6:i386	2:1.8.7-1build1
libx11-data	2:1.8.7-1build1
libx11-protocol-perl	0.56-9
libx11-xcb1:amd64	2:1.8.7-1build1
libx11-xcb1:i386	2:1.8.7-1build1
libx264-164:amd64	2:0.164.3108+git31e19f9-1
libx264-164:i386	2:0.164.3108+git31e19f9-1
libx265-199:amd64	3.5-2build1
libx265-199:i386	3.5-2build1
libxapian30:amd64	1.4.22-1build1
libxapp1:amd64	3.2.3+zena
libxatracker2:amd64	25.1.7-1ubuntu2~24.04.2
libxau6:amd64	1:1.0.9-1build6
libxau6:i386	1:1.0.9-1build6
libxaw7:amd64	2:1.0.14-1build2
libxcb-composite0:amd64	1.15-1ubuntu2
libxcb-damage0:amd64	1.15-1ubuntu2
libxcb-dri2-0:amd64	1.15-1ubuntu2
libxcb-dri3-0:amd64	1.15-1ubuntu2
libxcb-dri3-0:i386	1.15-1ubuntu2
libxcb-glx0:amd64	1.15-1ubuntu2
libxcb-glx0:i386	1.15-1ubuntu2
libxcb-icccm4:amd64	0.4.1-1.1build3
libxcb-image0:amd64	0.4.0-2build1
libxcb-keysyms1:amd64	0.4.0-1build4
libxcb-present0:amd64	1.15-1ubuntu2
libxcb-present0:i386	1.15-1ubuntu2
libxcb-randr0:amd64	1.15-1ubuntu2
libxcb-randr0:i386	1.15-1ubuntu2
libxcb-render-util0:amd64	0.3.9-1build4
libxcb-render0:amd64	1.15-1ubuntu2
libxcb-render0:i386	1.15-1ubuntu2
libxcb-res0:amd64	1.15-1ubuntu2
libxcb-shape0:amd64	1.15-1ubuntu2
libxcb-shm0:amd64	1.15-1ubuntu2
libxcb-shm0:i386	1.15-1ubuntu2
libxcb-sync1:amd64	1.15-1ubuntu2
libxcb-sync1:i386	1.15-1ubuntu2
libxcb-util1:amd64	0.4.0-1build3
libxcb-xfixes0:amd64	1.15-1ubuntu2
libxcb-xfixes0:i386	1.15-1ubuntu2
libxcb-xinerama0:amd64	1.15-1ubuntu2
libxcb-xinput0:amd64	1.15-1ubuntu2
libxcb-xkb1:amd64	1.15-1ubuntu2
libxcb-xv0:amd64	1.15-1ubuntu2
libxcb1:amd64	1.15-1ubuntu2
libxcb1:i386	1.15-1ubuntu2
libxcomposite1:amd64	1:0.4.5-1build3
libxcomposite1:i386	1:0.4.5-1build3
libxcursor1:amd64	1:1.2.1-1build1
libxcursor1:i386	1:1.2.1-1build1
libxcvt0:amd64	0.1.2-1build1
libxdamage1:amd64	1:1.1.6-1build1
libxdamage1:i386	1:1.1.6-1build1
libxdmcp6:amd64	1:1.1.3-0ubuntu6
libxdmcp6:i386	1:1.1.3-0ubuntu6
libxdo3:amd64	1:3.20160805.1-5build1
libxext6:amd64	2:1.3.4-1build2
libxext6:i386	2:1.3.4-1build2
libxfce4panel-2.0-4	4.18.4-1ubuntu0.1
libxfce4ui-2-0:amd64	4.18.4-1build4
libxfce4ui-common	4.18.4-1build4
libxfce4ui-utils	4.18.4-1build4
libxfce4util-bin	4.18.1-2build3
libxfce4util-common	4.18.1-2build3
libxfce4util7:amd64	4.18.1-2build3
libxfconf-0-3:amd64	4.18.1-1build3
libxfixes3:amd64	1:6.0.0-2build1
libxfixes3:i386	1:6.0.0-2build1
libxfont2:amd64	1:2.0.6-1+deb13u1build0.24.04.2
libxft2:amd64	2.3.6-1build1
libxi6:amd64	2:1.8.1-1build1
libxi6:i386	2:1.8.1-1build1
libxinerama1:amd64	2:1.1.4-3build1
libxinerama1:i386	2:1.1.4-3build1
libxkbcommon-x11-0:amd64	1.6.0-1build1
libxkbcommon0:amd64	1.6.0-1build1
libxkbcommon0:i386	1.6.0-1build1
libxkbfile1:amd64	1:1.1.0-1build4
libxkbregistry0:amd64	1.6.0-1build1
libxkbregistry0:i386	1.6.0-1build1
libxklavier16:amd64	5.4-5build2
libxml-namespacesupport-perl	1.12-2
libxml-parser-perl	2.47-1ubuntu0.24.04.1
libxml-sax-base-perl	1.09-3
libxml-sax-expat-perl	0.51-2
libxml-sax-perl	1.02+dfsg-3
libxml-twig-perl	1:3.52-2
libxml-xpathengine-perl	0.14-2
libxml2:amd64	2.9.14+dfsg-1.3ubuntu3.8
libxml2:i386	2.9.14+dfsg-1.3ubuntu3.8
libxmlb2:amd64	0.3.24-1~ubuntu0.24.04.1
libxmlsec1t64:amd64	1.2.39-5build2
libxmlsec1t64-nss:amd64	1.2.39-5build2
libxmu6:amd64	2:1.1.3-3build2
libxmuu1:amd64	2:1.1.3-3build2
libxnvctrl0:amd64	510.47.03-0ubuntu4.24.04.1
libxpm4:amd64	1:3.5.17-1ubuntu0.24.04.1
libxpm4:i386	1:3.5.17-1ubuntu0.24.04.1
libxpresent1:amd64	1.0.0-2build2
libxrandr2:amd64	2:1.5.2-2build1
libxrandr2:i386	2:1.5.2-2build1
libxreaderdocument3	4.6.5+wilma
libxreaderview3	4.6.5+wilma
libxrender1:amd64	1:0.9.10-1.1build1
libxrender1:i386	1:0.9.10-1.1build1
libxres1:amd64	2:1.2.1-1build1
libxshmfence1:amd64	1.3-1build5
libxshmfence1:i386	1.3-1build5
libxslt1.1:amd64	1.1.39-0exp1ubuntu0.24.04.3
libxss1:amd64	1:1.2.3-1build3
libxss1:i386	1:1.2.3-1build3
libxt6t64:amd64	1:1.2.1-1.2build1
libxtables12:amd64	1.8.10-3ubuntu2
libxtst6:amd64	2:1.2.3-1.1build1
libxtst6:i386	2:1.2.3-1.1build1
libxv1:amd64	2:1.0.11-1.1build1
libxv1:i386	2:1.0.11-1.1build1
libxvidcore4:amd64	2:1.3.7-1build1
libxvidcore4:i386	2:1.3.7-1build1
libxvmc1:amd64	2:1.0.12-2build3
libxxf86dga1:amd64	2:1.1.5-1build1
libxxf86vm1:amd64	1:1.1.4-1build4
libxxf86vm1:i386	1:1.1.4-1build4
libxxhash0:amd64	0.8.2-2build1
libyajl2:amd64	2.1.0-5build1
libyaml-0-2:amd64	0.2.5-1build1
libyelp0:amd64	42.2-1ubuntu0.24.04.2
libz-mingw-w64	1.3.1+dfsg-1
libzbar0t64:amd64	0.23.93-4build3
libzimg2:amd64	3.0.5+ds1-1build1
libzip4t64:amd64	1.7.3-1.1ubuntu2
libzix-0-0:amd64	0.4.2-2build1
libzmq5:amd64	4.3.5-1build2
libzstd1:amd64	1.5.5+dfsg2-2build1.1
libzstd1:i386	1.5.5+dfsg2-2build1.1
libzvbi-common	0.2.42-2
libzvbi0t64:amd64	0.2.42-2
libzvbi0t64:i386	0.2.42-2
libzxing3:amd64	2.2.1-3
light-locker	1.8.0-3ubuntu3
light-locker-settings	1.5.0-0ubuntu4
lightdm	1.30.0-0ubuntu14
lightdm-settings	2.1.1
linux-base	4.5ubuntu9+24.04.2
linux-firmware	20240318.git3b128b60.0ubuntu3.1
linux-firmware-amd-graphics	20240318.git3b128b60-0ubuntu3.2
linux-firmware-amd-misc	20240318.git3b128b60-0ubuntu3.1
linux-firmware-broadcom-wireless	20240318.git3b128b60-0ubuntu3.1
linux-firmware-intel-graphics	20240318.git3b128b60-0ubuntu3.1
linux-firmware-intel-misc	20240318.git3b128b60-0ubuntu3.1
linux-firmware-intel-wireless	20240318.git3b128b60-0ubuntu3.1
linux-firmware-marvell-prestera	20240318.git3b128b60-0ubuntu3.1
linux-firmware-marvell-wireless	20240318.git3b128b60-0ubuntu3.1
linux-firmware-mediatek	20240318.git3b128b60-0ubuntu3.1
linux-firmware-mellanox-spectrum	20240318.git3b128b60-0ubuntu3.1
linux-firmware-misc	20240318.git3b128b60-0ubuntu3.1
linux-firmware-netronome	20240318.git3b128b60-0ubuntu3.1
linux-firmware-nvidia-graphics	20240318.git3b128b60-0ubuntu3.1
linux-firmware-qlogic	20240318.git3b128b60-0ubuntu3.1
linux-firmware-qualcomm-graphics	20240318.git3b128b60-0ubuntu3.1
linux-firmware-qualcomm-misc	20240318.git3b128b60-0ubuntu3.1
linux-firmware-qualcomm-wireless	20240318.git3b128b60-0ubuntu3.1
linux-firmware-realtek	20240318.git3b128b60-0ubuntu3.1
linux-generic-hwe-24.04	7.0.0-31.31~24.04.1
linux-headers-6.14.0-37-generic	6.14.0-37.37~24.04.1
linux-headers-6.17.0-35-generic	6.17.0-35.35~24.04.1
linux-headers-6.17.0-40-generic	6.17.0-40.40~24.04.1
linux-headers-7.0.0-28-generic	7.0.0-28.28~24.04.1
linux-headers-7.0.0-30-generic	7.0.0-30.30~24.04.1
linux-headers-7.0.0-31-generic	7.0.0-31.31~24.04.1
linux-headers-generic-hwe-24.04	7.0.0-31.31~24.04.1
linux-hwe-6.14-headers-6.14.0-37	6.14.0-37.37~24.04.1
linux-hwe-6.17-headers-6.17.0-35	6.17.0-35.35~24.04.1
linux-hwe-6.17-headers-6.17.0-40	6.17.0-40.40~24.04.1
linux-hwe-6.17-tools-6.17.0-35	6.17.0-35.35~24.04.1
linux-hwe-6.17-tools-6.17.0-40	6.17.0-40.40~24.04.1
linux-hwe-7.0-headers-7.0.0-28	7.0.0-28.28~24.04.1
linux-hwe-7.0-headers-7.0.0-30	7.0.0-30.30~24.04.1
linux-hwe-7.0-headers-7.0.0-31	7.0.0-31.31~24.04.1
linux-hwe-7.0-tools-7.0.0-28	7.0.0-28.28~24.04.1
linux-hwe-7.0-tools-7.0.0-30	7.0.0-30.30~24.04.1
linux-hwe-7.0-tools-7.0.0-31	7.0.0-31.31~24.04.1
linux-image-6.14.0-37-generic	6.14.0-37.37~24.04.1
linux-image-6.17.0-35-generic	6.17.0-35.35~24.04.1
linux-image-6.17.0-40-generic	6.17.0-40.40~24.04.1
linux-image-7.0.0-28-generic	7.0.0-28.28~24.04.1
linux-image-7.0.0-30-generic	7.0.0-30.30~24.04.1
linux-image-7.0.0-31-generic	7.0.0-31.31~24.04.1
linux-image-generic-hwe-24.04	7.0.0-31.31~24.04.1
linux-libc-dev:amd64	6.8.0-139.139
linux-modules-6.14.0-37-generic	6.14.0-37.37~24.04.1
linux-modules-6.17.0-35-generic	6.17.0-35.35~24.04.1
linux-modules-6.17.0-40-generic	6.17.0-40.40~24.04.1
linux-modules-7.0.0-28-generic	7.0.0-28.28~24.04.1
linux-modules-7.0.0-30-generic	7.0.0-30.30~24.04.1
linux-modules-7.0.0-31-generic	7.0.0-31.31~24.04.1
linux-modules-extra-6.14.0-37-generic	6.14.0-37.37~24.04.1
linux-modules-extra-6.17.0-35-generic	6.17.0-35.35~24.04.1
linux-modules-extra-6.17.0-40-generic	6.17.0-40.40~24.04.1
linux-sound-base	1.0.25+dfsg-0ubuntu7
linux-tools-6.17.0-35-generic	6.17.0-35.35~24.04.1
linux-tools-6.17.0-40-generic	6.17.0-40.40~24.04.1
linux-tools-7.0.0-28-generic	7.0.0-28.28~24.04.1
linux-tools-7.0.0-30-generic	7.0.0-30.30~24.04.1
linux-tools-7.0.0-31-generic	7.0.0-31.31~24.04.1
linux-tools-common	6.8.0-139.139
linuxmint-keyring	2022.06.21
lm-sensors	1:3.6.0-9build1
localechooser-data	2.89ubuntu6
locales	2.39-0ubuntu8.8
login	1:4.13+dfsg1-4ubuntu3.2
logrotate	3.21.0-2build1
logsave	1.47.0-2.4~exp1ubuntu4.1
lp-solve	5.5.2.5-2ubuntu0.1
lsb-release	12.0-2
lsdvd	0.17-1build5
lshw	02.19.git.2021.06.19.996aaad9c7-2ubuntu0.24.04.1
lsof	4.95.0-1build3
lsscsi	0.32-1build1
lto-disabled-list	47
ltrace	0.7.3-6.4ubuntu3
lvm2	2.03.16-3ubuntu3.2
m4	1.4.19-4build1
mailcap	3.70+nmu1ubuntu1.24.04.1
make	4.3-4.1build2
man-db	2.12.0-4build2
manpages	6.7-2
mate-desktop	1.26.2-1.1mint1+zara
mate-desktop-common	1.26.2-1.1mint1+zara
mate-menus	1.26.1+mint1
mate-panel	1.27.1-2build3
mate-panel-common	1.27.1-2build3
mate-polkit	1.26.1+mint1
mate-polkit-common	1.26.1+mint1
mawk	1.3.4.20240123-1build1
mdadm	4.3-1ubuntu2.1
media-player-info	24-3
media-types	10.1.0
mesa-libgallium:amd64	25.2.8-0ubuntu0.24.04.2
mesa-libgallium:i386	25.2.8-0ubuntu0.24.04.2
mesa-utils	9.0.0-2
mesa-utils-bin:amd64	9.0.0-2
mesa-va-drivers:amd64	25.2.8-0ubuntu0.24.04.2
mesa-va-drivers:i386	25.2.8-0ubuntu0.24.04.2
mesa-vdpau-drivers:amd64	25.2.8-0ubuntu0.24.04.2
mesa-vdpau-drivers:i386	25.2.8-0ubuntu0.24.04.2
mesa-vulkan-drivers:amd64	25.2.8-0ubuntu0.24.04.2
mesa-vulkan-drivers:i386	25.2.8-0ubuntu0.24.04.2
metacity	1:3.52.0-1build1
metacity-common	1:3.52.0-1build1
mint-artwork	1.9.3
mint-backgrounds-wallpapers	1.0
mint-common	2.5.1
mint-cursor-themes	1.0.2
mint-info-cinnamon	2025.11.11
mint-l-icons	1.8.0
mint-l-theme	2.0.6
mint-meta-cinnamon	2025.12.15+mint22.3
mint-meta-codecs	2025.12.15+mint22.3
mint-meta-core	2025.12.15+mint22.3
mint-mirrors	1.2.9
mint-themes	2.3.8
mint-translations	2026.01.08
mint-upgrade-info	1.3.0
mint-x-icons	1.7.5
mint-y-icons	1.9.1
mintbackup	2.4.7
mintchat	2.0
mintdrivers	1.8.8
mintinstall	8.4.0
mintlocale	1.6.6
mintmenu	6.2.3
mintreport	1.6.1
mintsources	2.4.3
mintstick	1.6.6
mintsysadm	1.0.4
mintsystem	8.6.5
mintupdate	7.1.4
mintwelcome	2.6.2
mobile-broadband-provider-info	20230416-1
modemmanager	1.23.4-0ubuntu2
mokutil	0.6.0-2build3
mount	2.39.3-9ubuntu6.6
mousepad	0.6.1-1build2
mousetweaks	3.32.0-4build2
mscompress	0.4-10build1
msr-tools	1.3-5build1
mtools	4.0.43-1build1
mtr-tiny	0.95-1.1ubuntu0.1
muffin	6.6.3+zena
muffin-common	6.6.3+zena
muffin-dbg	6.6.3+zena
mysql-common	5.8+1.1.0build1
mythes-en-us	1:24.2.1-1
nano	7.2-2ubuntu0.2
nautilus-data	1:46.4-0ubuntu0.2
ncurses-base	6.4+20240113-1ubuntu2.2
ncurses-bin	6.4+20240113-1ubuntu2.2
ncurses-term	6.4+20240113-1ubuntu2.2
nemo	6.6.3+zena
nemo-data	6.6.3+zena
nemo-dbg	6.6.3+zena
nemo-emblems	6.6.0+zena
nemo-fileroller	6.6.0+zena
nemo-preview	6.6.0+zena
nemo-share	6.6.0+zena
neofetch	7.1.0-4
net-tools	2.10-0.1ubuntu4.4
netbase	6.4
netcat-openbsd	1.226-1ubuntu2
netplan-generator	1.1.2-8ubuntu1~24.04.2
netplan.io	1.1.2-8ubuntu1~24.04.2
network-manager	1.46.0-1ubuntu2.8
network-manager-config-connectivity-ubuntu	1.46.0-1ubuntu2.8
network-manager-gnome	1.34.0+mint3
network-manager-openvpn	1.10.2-4ubuntu0.2
network-manager-openvpn-gnome	1.10.2-4ubuntu0.2
network-manager-pptp	1.2.12-3build2
network-manager-pptp-gnome	1.2.12-3build2
networkd-dispatcher	2.2.4-1
nftables	1.0.9-1ubuntu0.1
ntfs-3g	1:2022.10.3-1.2ubuntu3.2
nvidia-prime-applet	1.4.8
ocl-icd-libopencl1:amd64	2.3.2-1build1
ocl-icd-libopencl1:i386	2.3.2-1build1
onboard	1.4.1+mint4+wilma
onboard-common	1.4.1+mint4+wilma
openjdk-21-jre:amd64	21.0.12+8-1~24.04
openjdk-21-jre-headless:amd64	21.0.12+8-1~24.04
openprinting-ppds	20230202-1
openssh-client	1:9.6p1-3ubuntu13.19
openssh-server	1:9.6p1-3ubuntu13.19
openssh-sftp-server	1:9.6p1-3ubuntu13.19
openssl	3.0.13-0ubuntu3.15
openvpn	2.6.19-0ubuntu0.24.04.3
orca	46.1-1ubuntu1
os-prober	1.81ubuntu4
ovmf	2024.02-2ubuntu0.9
p11-kit	0.25.3-4ubuntu2.2
p11-kit-modules:amd64	0.25.3-4ubuntu2.2
p7zip	16.02+transitional.1
p7zip-full	16.02+transitional.1
packagekit	1.2.8+mint3+wilma
packagekit-tools	1.2.8+mint3+wilma
papirus-icon-theme	20240201-1
parted	3.6-4build1
pass	1.7.4-6
passwd	1:4.13+dfsg1-4ubuntu3.2
patch	2.7.6-7build3
patchutils	0.4.2-1build3
pavucontrol	5.0-2build3
pci.ids	0.0~2024.03.31-1ubuntu0.1
pciutils	1:3.10.0-2build1
pcmciautils	018-14build1
perl	5.38.2-3.2ubuntu0.4
perl-base	5.38.2-3.2ubuntu0.4
perl-modules-5.38	5.38.2-3.2ubuntu0.4
perl-openssl-defaults:amd64	7build3
pigz	2.8-1
pinentry-curses	1.2.1-3ubuntu5
pinentry-gnome3	1.2.1-3ubuntu5
pipewire:amd64	1.0.5-1ubuntu3.3
pipewire-alsa:amd64	1.0.5-1ubuntu3.3
pipewire-audio	1.0.5-1ubuntu3.3
pipewire-bin	1.0.5-1ubuntu3.3
pipewire-module-xrdp	0.2-2
pipewire-pulse	1.0.5-1ubuntu3.3
pix	3.4.10+zena
pix-data	3.4.10+zena
pix-dbg	3.4.10+zena
pkexec	124-2ubuntu1.24.04.3
pkg-config:amd64	1.8.1-2build1
pkgconf:amd64	1.8.1-2build1
pkgconf-bin	1.8.1-2build1
plocate	1.1.19-2ubuntu2
plymouth	24.004.60-1ubuntu7.2
plymouth-label	24.004.60-1ubuntu7.2
plymouth-theme-spinner	24.004.60-1ubuntu7.2
plymouth-theme-ubuntu-text	24.004.60-1ubuntu7.2
pm-utils	1.4.1-21
po-debconf	1.0.21+nmu1
policykit-1	124-2ubuntu1.24.04.3
policykit-1-gnome	0.105-7ubuntu5
policykit-desktop-privileges	0.22
polkitd	124-2ubuntu1.24.04.3
poppler-data	0.4.12-1
poppler-utils	24.02.0-1ubuntu9.9
power-profiles-daemon	0.21-1ubuntu2
powermgmt-base	1.37ubuntu0.1
ppp	2.4.9-1+1.1ubuntu4
pptp-linux	1.10.0-1build4
printer-driver-brlaser	6-3build2
printer-driver-c2esp	27-11ubuntu7
printer-driver-foo2zjs	20200505dfsg0-2ubuntu6
printer-driver-foo2zjs-common	20200505dfsg0-2ubuntu6
printer-driver-gutenprint	5.3.4.20220624T01008808d602-1build4
printer-driver-hpcups	3.23.12+dfsg0-0ubuntu5.1
printer-driver-m2300w	0.51-15build2
printer-driver-min12xxw	0.0.9-11build3
printer-driver-pnm2ppa	1.13+nondbs-0ubuntu10
printer-driver-postscript-hp	3.23.12+dfsg0-0ubuntu5.1
printer-driver-ptouch	1.7-1build2
printer-driver-pxljr	1.4+repack0-6build2
printer-driver-sag-gdi	0.1-8
printer-driver-splix	2.0.0+svn315-7fakesync1ubuntu1
procps	2:4.0.4-4ubuntu3.3
psmisc	23.7-1build1
publicsuffix	20231001.0357-0.1
pulseaudio-utils	1:16.1+dfsg1-2ubuntu10.1
python-apt-common	2.7.7ubuntu5.2
python-babel-localedata	2.10.3-3build1
python-nemo	6.6.0+zena
python-tinycss2-common	1.2.1-2
python3	3.12.3-0ubuntu2.1
python3-apport	2.28.3-0ubuntu0.1
python3-apt	2.7.7ubuntu5.2
python3-aptdaemon	1.1.1+bzr982-0ubuntu44
python3-aptdaemon.gtk3widgets	1.1.1+bzr982-0ubuntu44
python3-babel	2.10.3-3build1
python3-blinker	1.7.0-1
python3-brlapi:amd64	6.6-4ubuntu5
python3-brotli	1.1.0-2build2
python3-bs4	4.12.3-1
python3-cairo	1.25.1-2build2
python3-certifi	2023.11.17-1
python3-cffi-backend:amd64	1.16.0-2build1
python3-chardet	5.2.0+dfsg-1
python3-click	8.1.6-2
python3-colorama	0.4.6-4
python3-commandnotfound	23.04.0
python3-configobj	5.0.8-3
python3-cryptography	41.0.7-4ubuntu0.4
python3-cups:amd64	2.0.1-5build6
python3-cupshelpers	1.5.18-1ubuntu9
python3-dbus	1.3.2-5build3
python3-debian	0.1.49ubuntu2
python3-defer	1.0.6-2.1ubuntu1
python3-deprecation	2.1.0-3
python3-dev	3.12.3-0ubuntu2.1
python3-dill	0.3.8-1
python3-distro	1.9.0-1
python3-eyed3	0.9.7-1
python3-filelock	3.13.1-1
python3-filetype	1.2.0-1
python3-gdbm:amd64	3.12.3-0ubuntu1
python3-gi	3.48.2-1
python3-gi-cairo	3.48.2-1
python3-gnupg	0.5.2-1
python3-html2text	2024.2.26-1
python3-httplib2	0.20.4-3ubuntu0.1
python3-ibus-1.0	1.5.29-2
python3-icu	2.12-1build2
python3-idna	3.6-2ubuntu0.2
python3-ifaddr	0.2.0-1
python3-jwt	2.7.0-1ubuntu0.1
python3-launchpadlib	1.11.0-6
python3-lazr.restfulclient	0.14.6-1
python3-lazr.uri	1.0.6-3
python3-ldb	2:2.8.0+samba4.19.5+dfsg-4ubuntu9.7
python3-libevdev	0.5-3
python3-louis	3.29.0-1build1
python3-lxml:amd64	5.2.1-1
python3-mako	1.3.2-1ubuntu0.1
python3-markdown	3.5.2-1
python3-markdown-it	3.0.0-2
python3-markupsafe	2.1.5-1build2
python3-mdurl	0.1.2-1
python3-minimal	3.12.3-0ubuntu2.1
python3-multiprocess	0.70.16-2
python3-mutagen	1.46.0-2
python3-nacl	1.5.0-4build1
python3-netaddr	0.8.0-2ubuntu1
python3-netifaces:amd64	0.11.0-2build3
python3-netplan	1.1.2-8ubuntu1~24.04.2
python3-oauthlib	3.2.2-1
python3-packaging	24.0-1
python3-pam	0.4.2-18build2
python3-parted	3.12.0-6build3
python3-pexpect	4.9-2
python3-pil:amd64	10.2.0-1ubuntu1.3
python3-pip	24.0+dfsg-1ubuntu1.3
python3-pip-whl	24.0+dfsg-1ubuntu1.3
python3-pkg-resources	68.1.2-2ubuntu1.2
python3-png	0.20231004.0-2
python3-problem-report	2.28.3-0ubuntu0.1
python3-psutil	5.9.8-2build2
python3-ptyprocess	0.7.0-5
python3-pyasyncore	1.0.2-2
python3-pyatspi	2.46.1-1
python3-pycryptodome	3.20.0+dfsg-1
python3-pycurl	7.45.3-1build2
python3-pyelftools	0.30-1
python3-pygments	2.17.2+dfsg-1
python3-pyinotify	0.9.6-2ubuntu1
python3-pyparsing	3.1.1-1
python3-pyudev	0.24.0-1
python3-qrcode	7.4.2-4
python3-repolib	2.2.1+mint1
python3-requests	2.31.0+dfsg-1ubuntu1.1
python3-requests-file	1.5.1-2
python3-rich	13.7.1-1
python3-samba	2:4.19.5+dfsg-4ubuntu9.7
python3-setproctitle:amd64	1.3.3-1build2
python3-setuptools	68.1.2-2ubuntu1.2
python3-setuptools-whl	68.1.2-2ubuntu1.2
python3-six	1.16.0-4
python3-soupsieve	2.5-1
python3-speechd	0.12.0~rc2-2build3
python3-systemd	235-1build4
python3-talloc:amd64	2.4.2-1build2
python3-tdb	1.4.10-1build1
python3-tinycss2	1.2.1-2
python3-tldextract	3.1.2-2
python3-typing-extensions	4.10.0-1
python3-tz	2024.1-2
python3-unidecode	1.3.8-1
python3-uno	4:24.2.7-0ubuntu0.24.04.6
python3-urllib3	2.0.7-1ubuntu0.7
python3-wadllib	1.3.6-5
python3-webencodings	0.5.1-5
python3-websockets	10.4-1
python3-wheel	0.42.0-2
python3-xapp	3.0.2
python3-xdg	0.28-2
python3-xkit	0.5.0ubuntu6
python3-xlib	0.33-2
python3-xlrd	2.0.1-2
python3-yaml	6.0.1-2build2
python3.12	3.12.3-1ubuntu0.16
python3.12-dev	3.12.3-1ubuntu0.16
python3.12-minimal	3.12.3-1ubuntu0.16
python3.12-venv	3.12.3-1ubuntu0.16
qemu-block-extra	1:8.2.2+ds-0ubuntu1.18
qemu-system-common	1:8.2.2+ds-0ubuntu1.18
qemu-system-data	1:8.2.2+ds-0ubuntu1.18
qemu-system-gui	1:8.2.2+ds-0ubuntu1.18
qemu-system-modules-opengl	1:8.2.2+ds-0ubuntu1.18
qemu-system-modules-spice	1:8.2.2+ds-0ubuntu1.18
qemu-system-x86	1:8.2.2+ds-0ubuntu1.18
qemu-utils	1:8.2.2+ds-0ubuntu1.18
qrencode	4.1.1-1build2
qt5-gtk-platformtheme:amd64	5.15.13+dfsg-1ubuntu1
qt5-gtk2-platformtheme:amd64	5.0.0+git23.g335dbec-6build5
qt5-style-plugin-cleanlooks:amd64	5.0.0+git23.g335dbec-6build5
qt5-style-plugin-motif:amd64	5.0.0+git23.g335dbec-6build5
qt5-style-plugin-plastique:amd64	5.0.0+git23.g335dbec-6build5
qt5-style-plugins:amd64	5.0.0+git23.g335dbec-6build5
qttranslations5-l10n	5.15.13-1
rdate	1:1.11-3ubuntu2
readline-common	8.2-4build1
reiserfsprogs	1:3.6.27-7.1build1
rename	2.02-1
rfkill	2.39.3-9ubuntu6.6
rhythmbox	3.4.7-2ubuntu6
rhythmbox-data	3.4.7-2ubuntu6
rhythmbox-plugin-tray-icon	2020.05.21
rhythmbox-plugins	3.4.7-2ubuntu6
ristretto	0.13.1-1build2
rpcsvc-proto	1.4.2-0ubuntu7
rsync	3.2.7-1ubuntu1.5
rsyslog	8.2312.0-3ubuntu9.3
rtkit	0.13-5build1
samba-common	2:4.19.5+dfsg-4ubuntu9.7
samba-common-bin	2:4.19.5+dfsg-4ubuntu9.7
samba-libs:amd64	2:4.19.5+dfsg-4ubuntu9.7
sane-airscan	0.99.29-0ubuntu4
sane-utils	1.2.1-7build4
sbsigntool	0.9.4-3.1ubuntu7
seabios	1.16.3-2
seahorse	43.0-3build2
secureboot-db	1.9build1
sed	4.9-2ubuntu0.24.04.1
sensible-utils	0.0.22
session-migration	0.3.9build1
sgml-base	1.31
sgml-data	2.0.11+nmu1
shared-mime-info	2.4-4
